Fichier,ID_Paragraphe,Présence,1er Mot (Entrée),1er Mot (Sortie),Dernier Mot (Entrée),Dernier Mot (Sortie),Nb mots (Entrée),Nb mots (Sortie),Nb mots Identique,Nb balises (Entrée),Nb balises (Sortie),Nb balises Identique
semtags_2combiné_T2 clj. San Pedro_clean.xml,p696,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p824,OK,CH_BO_11-1-,CH_BO_11-1-,https://api.nakala.fr/embed/10.34847/nkl.b8af871v/1efa986db426b0c165ce29b2028df4dcd7e91bbc,https://api.nakala.fr/embed/10.34847/nkl.b8af871v/1efa986db426b0c165ce29b2028df4dcd7e91bbc,2,2,Oui,3,3,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p778,OK,La,La,iglesia.,iglesia.,84,84,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p234,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p374,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p489,OK,CH_BO_06-1-,CH_BO_06-1-,CH_BO_06-1-,CH_BO_06-1-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p214,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p167,OK,CH_BO_02a-2-,CH_BO_02a-2-,CH_BO_02a-2-,CH_BO_02a-2-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p158,OK,CH_BO_02a.,CH_BO_02a.,v°..,v°..,99,99,Oui,31,31,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p522,OK,CH_BO_06-13-,CH_BO_06-13-,CH_BO_06-13-,CH_BO_06-13-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p27,OK,CH_BO_01.,CH_BO_01.,r°..,r°..,73,73,Oui,17,17,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p237,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p152,OK,CH_BO_02.,CH_BO_02.,.,.,57,57,Oui,17,17,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p792,OK,CH_BO_11.,CH_BO_11.,v°..,v°..,45,45,Oui,13,13,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p834,OK,En,En,maestrescuela.,maestrescuela.,120,120,Oui,1,1,Oui
